key,"zh-tw","en-us","ja"
welcomeTitle,"歡迎光臨「Knight Base」！","Welcome to Knight Base!","「Knight Base」へようこそ！"
welcomeContent,"本遊戲為一個框架示範遊戲，主要是以一個具有基本遊戲流程來做設計，處理掉一些在各個平台會踩到的坑，讓做新遊戲變得更簡單。來看看這裡面究竟有什麼吧！","This is a framework demo game designed with a basic game flow, aiming to solve common cross-platform issues and make creating new games easier. Let's see what's inside!","このゲームは基本的なゲームフローを備えたフレームワークのデモであり、各プラットフォームでよくある問題を解決し、新しいゲームの制作をより簡単にすることを目的としています。中身を見てみましょう！"
confirm,"確認","OK","OK"
pressToStart,"","PRESS TO START",""
playerTitle1,"新手玩家","New Player","初心者プレイヤー"
battle,"出戰","Battle","出撃"
mission,"任務","Mission","ミッション"
shop,"商店","Shop","ショップ"
settings,"設定","Settings","設定"
masterVolume,"總音量","Master Volume","マスターボリューム"
musicVolume,"音樂音量","Music Volume","音楽の音量"
soundVolume,"音效音量","Sound Volume","効果音の音量"
language,"語言","Language","言語"
backupSaveData,"備份存檔","Backup Save Data","セーブデータをバックアップ"
restoreSaveData,"還原存檔","Restore","復元"
pasteSaveDataHint,"貼上備份資料...","Paste your backup data...","バックアップデータを貼り付けてください..."
settingsPageTitle,"設定","Settings","設定"
settingsPageSubtitle,"Settings","#NOTHING#","Settings"
backupSaveHint,"本遊戲不支援線上存檔，請記得隨時備份存檔。","This game does not support online saves. Please remember to back up your save data regularly.","本ゲームはオンラインセーブに対応していません。こまめにセーブデータをバックアップしてください。"
noDataToBackup,"沒有資料可備份","No data to back up","バックアップできるデータがありません"
successToCopy,"已複製存檔至剪貼簿","Save data copied to clipboard","セーブデータをクリップボードにコピーしました"
copyFailed,"複製失敗","Failed to copy","コピーに失敗しました"
restoreSuccess,"還原成功","Restore successful","復元に成功しました"
formatError,"格式錯誤","Invalid format","形式が正しくありません"
battlePageTitle,"出戰","Battle","出撃"
battlePageSubtitle,"Battle","#NOTHING#","Battle"
character,"角色","Character","キャラクター"
stage,"關卡","Stage","ステージ"
selectedCharacter,"所選角色：{0}","Selected Character: {0}","選択キャラクター：{0}"
stageProgress,"目前進度：{0}","Current Progress: {0}","現在の進行状況：{0}"
none,"無","None","なし"
yuutaName,"騎士悠太","Yuuta the Knight","騎士ユウタ"
en-us,"","English",""
zh-tw,"","繁體中文",""
ja,"","日本語",""
