missionId,missionCategoryId,missionTitleKey,missionDescriptionKey,missionIconKey,missionConditions,rewardExp,rewardGold,rewardDiamond,rewardRuby,prerequisiteMissionId
1,1,dailyLogin,dailyLoginDesc,loginIcon,login:1,50,10,0,0,
2,1,dailyPlayLevel,dailyPlayLevelDesc,levelIcon,level_play:1,50,10,0,0,
3,1,dailyJumps,dailyJumpsDesc,jumpIcon,jump:3,50,10,0,0,
4,1,dailyAttacks,dailyAttacksDesc,attackIcon,attack:3,50,10,0,0,
5,2,weeklyLoginDays,weeklyLoginDaysDesc,loginStreakIcon,login:5,350,70,0,0,
6,2,weeklyPlayLevels,weeklyPlayLevelsDesc,levelIcon,level_play:10,350,70,0,0,
7,2,weeklyJumps,weeklyJumpsDesc,jumpIcon,jump:30,350,70,0,0,
8,2,weeklyAttacks,weeklyAttacksDesc,attackIcon,attack:30,350,70,0,0,
101,4,login7,login7Desc,loginStreakIcon,login:7,500,100,0,0,
102,4,login14,login14Desc,loginStreakIcon,login:14,750,150,1,0,101
103,4,login21,login21Desc,loginStreakIcon,login:21,1000,200,1,0,102
104,4,login28,login28Desc,loginStreakIcon,login:28,1500,300,2,0,103
105,4,login35,login35Desc,loginStreakIcon,login:35,2000,400,3,0,104
106,4,login42,login42Desc,loginStreakIcon,login:42,2500,500,4,1,105
107,4,login49,login49Desc,loginStreakIcon,login:49,3000,600,5,1,106
108,4,login56,login56Desc,loginStreakIcon,login:56,3500,700,6,1,107
109,4,login63,login63Desc,loginStreakIcon,login:63,4000,800,7,2,108
110,4,login70,login70Desc,loginStreakIcon,login:70,5000,1000,10,3,109
201,4,totalPlays5,totalPlays5Desc,levelIcon,level_play:5,300,60,0,0,
202,4,totalPlays10,totalPlays10Desc,levelIcon,level_play:10,600,120,0,0,201
203,4,totalPlays15,totalPlays15Desc,levelIcon,level_play:15,900,180,1,0,202
204,4,totalPlays20,totalPlays20Desc,levelIcon,level_play:20,1200,240,1,0,203
205,4,totalPlays25,totalPlays25Desc,levelIcon,level_play:25,1500,300,2,0,204
206,4,totalPlays30,totalPlays30Desc,levelIcon,level_play:30,1800,360,2,0,205
207,4,totalPlays35,totalPlays35Desc,levelIcon,level_play:35,2100,420,3,1,206
208,4,totalPlays40,totalPlays40Desc,levelIcon,level_play:40,2400,480,3,1,207
209,4,totalPlays45,totalPlays45Desc,levelIcon,level_play:45,2700,540,4,1,208
210,4,totalPlays50,totalPlays50Desc,levelIcon,level_play:50,3000,600,5,2,209
301,4,totalJumps50,totalJumps50Desc,jumpIcon,jump:50,250,50,0,0,
302,4,totalJumps100,totalJumps100Desc,jumpIcon,jump:100,500,100,0,0,301
303,4,totalJumps150,totalJumps150Desc,jumpIcon,jump:150,750,150,1,0,302
304,4,totalJumps200,totalJumps200Desc,jumpIcon,jump:200,1000,200,1,0,303
305,4,totalJumps250,totalJumps250Desc,jumpIcon,jump:250,1250,250,1,0,304
306,4,totalJumps300,totalJumps300Desc,jumpIcon,jump:300,1500,300,2,0,305
307,4,totalJumps350,totalJumps350Desc,jumpIcon,jump:350,1750,350,2,1,306
308,4,totalJumps400,totalJumps400Desc,jumpIcon,jump:400,2000,400,3,1,307
309,4,totalJumps450,totalJumps450Desc,jumpIcon,jump:450,2250,450,3,1,308
310,4,totalJumps500,totalJumps500Desc,jumpIcon,jump:500,2500,500,4,2,309
401,4,totalAttacks50,totalAttacks50Desc,attackIcon,attack:50,250,50,0,0,
402,4,totalAttacks100,totalAttacks100Desc,attackIcon,attack:100,500,100,0,0,401
403,4,totalAttacks150,totalAttacks150Desc,attackIcon,attack:150,750,150,1,0,402
404,4,totalAttacks200,totalAttacks200Desc,attackIcon,attack:200,1000,200,1,0,403
405,4,totalAttacks250,totalAttacks250Desc,attackIcon,attack:250,1250,250,1,0,404
406,4,totalAttacks300,totalAttacks300Desc,attackIcon,attack:300,1500,300,2,0,405
407,4,totalAttacks350,totalAttacks350Desc,attackIcon,attack:350,1750,350,2,1,406
408,4,totalAttacks400,totalAttacks400Desc,attackIcon,attack:400,2000,400,3,1,407
409,4,totalAttacks450,totalAttacks450Desc,attackIcon,attack:450,2250,450,3,1,408
410,4,totalAttacks500,totalAttacks500Desc,attackIcon,attack:500,2500,500,4,2,409
